Candidate ID,Employment,YearsCode,DevType,OrgSize,LanguageHaveWorkedWith,LanguageAdmired,DatabaseHaveWorkedWith,PlatformHaveWorkedWith,WebframeHaveWorkedWith,MiscTechHaveWorkedWith,ToolsTechHaveWorkedWith,NEWCollabToolsHaveWorkedWith,OpSysPersonalUse,AISearchDevHaveWorkedWith,AIBen,AIComplex,AIToolCurrentlyUsing,AIEthics,AIChallenges,ICorPM,WorkExp,Frustration,ProfessionalTech,ProfessionalCloud,Industry,WeeklyAvailabilityHours,PersonalityText
101,"Employed, full-time",30,"Developer, back-end",100 to 499 employees,C#;SQL,C#;SQL,Microsoft SQL Server,Cloudflare;Google Cloud;Microsoft Azure;VMware,ASP.NET;ASP.NET CORE;Blazor,.NET (5+) ,MSBuild;Visual Studio Solution,Notepad++;Visual Studio;Visual Studio Code,Windows,GitHub Copilot;Google Gemini;Meta AI;Visual Studio Intellicode,Increase productivity;Greater efficiency;Improve accuracy in coding;Other (please specify):,Neither good or bad at handling complex tasks,Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Testing code;Search for answers,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Imitating a person's likeness;Energy demand,Other (please specify):,Individual contributor,30.0,Amount of technical debt;Number of software tools in use;Tracking my work;Showing my contributions;Complexity of tech stack for deployment;Complexity of tech stack for build;Maintaining security of code being produced;Patching/updating core components;Maintaining security of systems/platforms used in work;Reliability of tools/systems used in work,None of these,Hybrid (on-prem and cloud),Other:,10–20,"In group projects, this is pretty much my style: I like a balance of async messages and live discussions, depending on the task. I like having a clear direction and focusing on delivering my own tasks well. When conflict appears I try to stay calm and avoid unnecessary confrontation. My discipline around deadlines depends on the situation, but I try to be transparent. I’d describe my natural team role as a Shaper: I’m driven and like to push the team to make progress."
102,"Employed, full-time;Student, part-time",25,"Developer, full-stack",2 to 9 employees,C#;JavaScript;PowerShell;SQL,C#,Microsoft SQL Server;SQLite,Amazon Web Services (AWS),ASP.NET;jQuery,.NET Framework (1.0 - 4.8),NuGet;Visual Studio Solution,IntelliJ IDEA;Jupyter Notebook/JupyterLab;Notepad++;Visual Studio;Visual Studio Code,Android;iOS;Windows;Windows Subsystem for Linux (WSL),Bing AI;ChatGPT;GitHub Copilot;Visual Studio Intellicode,Increase productivity;Greater efficiency;Speed up learning;Other (please specify):,Very poor at handling complex tasks,Learning about a codebase;Search for answers,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints;Imitating a person's likeness;Energy demand;Other (please specify):,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools;Lack of executive buy-in;Not everyone uses them;We don’t have the right policies in place to reduce security risks;Other (please specify):;They create more work (more code/PRs to review, etc.)",Individual contributor,27.0,Amount of technical debt;Complexity of tech stack for deployment;Maintaining security of code being produced;Patching/updating core components,Automated testing;Observability tools;Knowledge sharing community;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Software Development,5–10,"Here’s how I usually work when I’m in a team. I’m comfortable switching between async and sync communication to fit the situation. I’m happy to step up, make decisions and keep everyone aligned when necessary. I’d describe my natural team role as a Implementer: I’m practical and like turning ideas into concrete steps. I usually de-escalate tension and look for a quiet way to sort things out. I enjoy learning from other people’s perspectives and experience. I adapt to the project context: sometimes I’m very strict, sometimes more relaxed."
103,"Employed, full-time",20,Other (please specify):,2 to 9 employees,Dart;Go;HTML/CSS;JavaScript;Python;TypeScript,Dart;Go;HTML/CSS;JavaScript;TypeScript,Cosmos DB;MongoDB,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Next.js;React,Flutter,npm;Vite;Webpack;Yarn,Visual Studio Code,MacOS,Bing AI;ChatGPT;GitHub Copilot,Increase productivity;Greater efficiency;Improve accuracy in coding,Bad at handling complex tasks,Writing code;Committing and reviewing code;Search for answers;Generating content or synthetic data,Missing or incorrect attribution for sources of data;Energy demand,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge",People manager,11.0,Complexity of tech stack for deployment;Complexity of tech stack for build;Patching/updating core components,AI-assisted technology tool(s);Microservices,Cloud only (single or multi-cloud),Software Development,10–20,"Here’s how I usually work when I’m in a team. I’m comfortable switching between async and sync communication to fit the situation. I really value respect and clear communication in any team. I’m happy to step up, make decisions and keep everyone aligned when necessary. I like to help people find common ground and reach a compromise. I’m quite strict with myself about timelines and like to finish tasks ahead of time. I’d describe my natural team role as a Teamworker: I’m supportive and focused on keeping the group working well together."
104,"Student, full-time;Employed, part-time",5,"Developer, full-stack",20 to 99 employees,C;C#;C++;HTML/CSS;Java;JavaScript;Python;R;SQL,C#;HTML/CSS;Java;JavaScript;Python;SQL,MariaDB;MongoDB;SQLite,Cloudflare;Google Cloud;Microsoft Azure;VMware,Flask;Spring Boot,.NET (5+) ;.NET Framework (1.0 - 4.8);Apache Kafka;NumPy;Opencv;Pandas;Spring Framework,Gradle;Kubernetes;Make;Maven (build tool);Pip;Unity 3D,Android Studio;IntelliJ IDEA;Notepad++;PyCharm;RStudio;Sublime Text;Visual Studio;Visual Studio Code,Ubuntu;Windows;Windows Subsystem for Linux (WSL),ChatGPT;Google Gemini,Increase productivity;Speed up learning;Improve accuracy in coding;Make workload more manageable,Bad at handling complex tasks,Writing code;Debugging and getting help;Search for answers,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Biased results that do not represent diverse viewpoints;Imitating a person's likeness,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;They create more work (more code/PRs to review, etc.)",Individual contributor,1.0,Number of software tools in use;Patching/updating core components,DevOps function;Automated testing;Observability tools;Knowledge sharing community;Developer portal or other central places to find tools/services;Innersource initiative,Hybrid (on-prem and cloud),Software Development,20–40,"In group projects, this is pretty much my style: I try to give constructive feedback and I appreciate it in return. I’d describe my natural team role as a Teamworker: I’m supportive and focused on keeping the group working well together. I usually prefer asynchronous communication so I can think before I answer. Clear deadlines motivate me and I try hard to stick to them. When conflict appears I try to stay calm and avoid unnecessary confrontation. I’m happy to step up, make decisions and keep everyone aligned when necessary."
105,"Employed, full-time",39,Security professional,10 to 19 employees,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Bash/Shell (all shells);C#;Python;SQL;TypeScript,Microsoft Access;Microsoft SQL Server;MySQL;SQLite,Amazon Web Services (AWS);Microsoft Azure,AngularJS;ASP.NET;ASP.NET CORE;Express;jQuery;Next.js;Node.js;React;Ruby on Rails,.NET (5+) ;.NET Framework (1.0 - 4.8);Electron;NumPy;Pandas;Scikit-Learn,Ant;APT;Chocolatey;Docker;MSBuild;npm;NuGet;Pip;Yarn,Notepad++;Vim;Visual Studio;Visual Studio Code,Android;ChromeOS;Ubuntu,Bing AI;ChatGPT;WolframAlpha,Increase productivity;Improve accuracy in coding,Very poor at handling complex tasks,Learning about a codebase;Writing code;Debugging and getting help;Search for answers,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Imitating a person's likeness,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge",People manager,18.0,Amount of technical debt;Maintaining security of systems/platforms used in work,DevOps function;Automated testing;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Software Development,20–40,"If I had to describe myself as a teammate, I’d say this: For me a mix of chat and meetings works best, and I adapt to what the team needs. I try to give constructive feedback and I appreciate it in return. I naturally tend to take the lead and organize things when the team needs direction. In conflict I’m quite straightforward, as long as the discussion stays respectful. I see deadlines more as guides and like to keep them realistic and negotiable. I’d describe my natural team role as a Monitor-Evaluator: I’m analytical and tend to look at pros and cons."
106,"Student, full-time;Employed, part-time",4,Data or business analyst,100 to 499 employees,HTML/CSS;JavaScript;Python;R;SQL;VBA,HTML/CSS;JavaScript;Python;R;SQL,Microsoft SQL Server,Heroku;Microsoft Azure,Flask;Node.js,Hugging Face Transformers;Keras;NumPy;Pandas;Scikit-Learn;TensorFlow;Tidyverse;Torch/PyTorch,Docker;Homebrew;npm;Pip,Jupyter Notebook/JupyterLab;RStudio;Vim;Visual Studio Code,MacOS,ChatGPT;GitHub Copilot;Google Gemini,Increase productivity;Greater efficiency;Speed up learning;Make workload more manageable,"Good, but not great at handling complex tasks",Writing code;Documenting code;Debugging and getting help;Testing code;Search for answers,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Biased results that do not represent diverse viewpoints;Energy demand,Don’t trust the output or answers;Lack of proper training and education on new tools,Individual contributor,2.0,None of these,None of these,Cloud only (single or multi-cloud),Other:,5–10,"Here’s how I usually work when I’m in a team. For me a mix of chat and meetings works best, and I adapt to what the team needs. I like it when the team shares ownership and we make decisions together. I’d rather put the issue on the table and discuss it honestly than let it simmer. I’m okay adjusting timelines if the scope changes and everyone is informed. I’d describe my natural team role as a Shaper: I’m driven and like to push the team to make progress."
107,"Employed, full-time",17,"Developer, full-stack",500 to 999 employees,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;TypeScript,Dynamodb;MongoDB;MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);Firebase;Heroku,Angular;CodeIgniter;Express;jQuery;Next.js;Node.js;React;Vue.js;Yii 2,RabbitMQ,Docker;npm;pnpm;Webpack;Yarn,Android Studio;Eclipse;IntelliJ IDEA;Nano;Notepad++;PhpStorm;Sublime Text;Visual Studio Code,Android;Windows;Windows Subsystem for Linux (WSL),ChatGPT;GitHub Copilot,Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding,"Good, but not great at handling complex tasks",Learning about a codebase;Writing code;Debugging and getting help;Search for answers,Replacing jobs without options for new employment opportunities,Don’t trust the output or answers,Individual contributor,14.0,None of these,Developer portal or other central places to find tools/services,Cloud only (single or multi-cloud),Government,5–10,"Here’s how I usually work when I’m in a team. Most of the time I like working through written messages and updates instead of constant meetings. I naturally tend to take the lead and organize things when the team needs direction. In conflict I’m quite straightforward, as long as the discussion stays respectful. My discipline around deadlines depends on the situation, but I try to be transparent. I really value respect and clear communication in any team. I’d describe my natural team role as a Teamworker: I’m supportive and focused on keeping the group working well together."
108,"Employed, full-time",6,"Developer, full-stack",20 to 99 employees,C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;HTML/CSS;SQL;TypeScript,Microsoft SQL Server;PostgreSQL,Digital Ocean;Microsoft Azure,Angular;ASP.NET;ASP.NET CORE,.NET (5+) ,Docker;NuGet;pnpm,Visual Studio;Visual Studio Code,Ubuntu;Windows,ChatGPT;Phind,Increase productivity;Speed up learning,Bad at handling complex tasks,Documenting code;Search for answers;Generating content or synthetic data,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Biased results that do not represent diverse viewpoints,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools;Not everyone uses them",Individual contributor,3.0,Amount of technical debt;Tracking my work;Showing my contributions;Complexity of tech stack for build;Patching/updating core components;Reliability of tools/systems used in work,DevOps function;Automated testing;Knowledge sharing community;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Software Development,10–20,"In group projects, this is pretty much my style: I like a balance of async messages and live discussions, depending on the task. I’m usually more comfortable supporting whoever is leading and doing my part reliably. For me it’s important that everyone feels heard and included. I’d describe my natural team role as a Coordinator: I’m good at organizing and bringing people together. I like to help people find common ground and reach a compromise. My discipline around deadlines depends on the situation, but I try to be transparent."
109,"Employed, full-time",5,"Developer, back-end",20 to 99 employees,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript,Bash/Shell (all shells);JavaScript;SQL;TypeScript,MongoDB;MySQL;PostgreSQL;Redis,Microsoft Azure,Flask;Laravel;Next.js;Node.js;React,Electron,Docker;npm;Pacman,IntelliJ IDEA;PhpStorm;PyCharm;Visual Studio;Visual Studio Code,Arch;Windows,Bing AI;ChatGPT;GitHub Copilot,Increase productivity;Greater efficiency,Neither good or bad at handling complex tasks,Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring;Search for answers,Circulating misinformation or disinformation;Replacing jobs without options for new employment opportunities;Imitating a person's likeness,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge",Individual contributor,2.0,None of these,DevOps function;Knowledge sharing community;AI-assisted technology tool(s);Microservices,Hybrid (on-prem and cloud),Software Development,40+,Here’s how I usually work when I’m in a team. I usually prefer asynchronous communication so I can think before I answer. I like having a clear direction and focusing on delivering my own tasks well. I don’t like heavy arguments and tend to step back rather than fight. I enjoy learning from other people’s perspectives and experience. I’m quite strict with myself about timelines and like to finish tasks ahead of time. I’d describe my natural team role as a Shaper: I’m driven and like to push the team to make progress.
110,"Employed, full-time",10,"Developer, full-stack",20 to 99 employees,HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript,HTML/CSS;JavaScript;Python;SQL;TypeScript,Cosmos DB;Elasticsearch;MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);Microsoft Azure,Express;NestJS;Next.js;Node.js;React,Apache Kafka;Electron;Hugging Face Transformers,Docker;Homebrew;Kubernetes;npm;Terraform;Vite;Webpack;Yarn,Visual Studio Code;WebStorm,iOS;MacOS,ChatGPT;GitHub Copilot;Google Gemini,Greater efficiency;Speed up learning;Improve accuracy in coding,Bad at handling complex tasks,Writing code;Search for answers;Generating content or synthetic data,Circulating misinformation or disinformation,"AI tools lack context of codebase,  internal architecture, and/or company knowledge",Individual contributor,5.0,Tracking my work;Showing my contributions;Complexity of tech stack for build,DevOps function;Automated testing;AI-assisted technology tool(s);Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Software Development,10–20,"Here’s how I usually work when I’m in a team. I really value respect and clear communication in any team. I work best with real-time conversations like quick calls or stand-ups. I naturally tend to take the lead and organize things when the team needs direction. I’d describe my natural team role as a Shaper: I’m driven and like to push the team to make progress. In conflict I’m quite straightforward, as long as the discussion stays respectful. How strict I am with deadlines depends on the impact and the current workload."
111,"Employed, full-time;Employed, part-time",8,"Developer, back-end",20 to 99 employees,HTML/CSS;JavaScript;PHP;Python;SQL,HTML/CSS;JavaScript;PHP;Python;SQL,MariaDB;MySQL;Redis,Digital Ocean,jQuery;Laravel,Hugging Face Transformers,APT;npm,PhpStorm,Ubuntu,ChatGPT;Codeium,Increase productivity;Greater efficiency;Improve collaboration;Speed up learning;Improve accuracy in coding;Make workload more manageable,Neither good or bad at handling complex tasks,Writing code;Documenting code;Debugging and getting help,Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints;Energy demand,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;Not everyone uses them",People manager,8.0,Amount of technical debt;Complexity of tech stack for deployment;Reliability of tools/systems used in work,AI-assisted technology tool(s);Innersource initiative,Cloud only (single or multi-cloud),Media & Advertising Services,5–10,"In group projects, this is pretty much my style: I’d describe my natural team role as a Teamworker: I’m supportive and focused on keeping the group working well together. I enjoy learning from other people’s perspectives and experience. I’m comfortable switching between async and sync communication to fit the situation. I’m okay adjusting timelines if the scope changes and everyone is informed. In conflicts I often act as a mediator and try to understand all sides. I’m happy to step up, make decisions and keep everyone aligned when necessary."
112,"Employed, full-time",10,"Developer, full-stack",10 to 19 employees,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;MicroPython;Visual Basic (.Net),C#;HTML/CSS;JavaScript;MicroPython;Visual Basic (.Net),Firebase Realtime Database;PostgreSQL;SQLite;Supabase,Cloudflare;Fly.io;Supabase;Vercel,Next.js;Node.js;React,Electron;React Native;Roslyn,Bun;Docker;Godot;Homebrew;npm;NuGet;pnpm;Vite;Webpack;Yarn,Nano;Visual Studio;Visual Studio Code;Xcode,iOS;iPadOS;MacOS;Ubuntu;Windows Subsystem for Linux (WSL),ChatGPT;GitHub Copilot;WolframAlpha;Visual Studio Intellicode,Greater efficiency,Very poor at handling complex tasks,Writing code,Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Imitating a person's likeness;Energy demand,"Don’t trust the output or answers;They create more work (more code/PRs to review, etc.)",Individual contributor,11.0,Complexity of tech stack for deployment;Complexity of tech stack for build;Maintaining security of code being produced;Patching/updating core components;Maintaining security of systems/platforms used in work;Reliability of tools/systems used in work,Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),"Internet, Telecomm or Information Services",10–20,"In group projects, this is pretty much my style: I get energy from live discussions and prefer to talk things through directly. I like having a clear direction and focusing on delivering my own tasks well. I’d describe my natural team role as a Shaper: I’m driven and like to push the team to make progress. I don’t like heavy arguments and tend to step back rather than fight. I’m okay adjusting timelines if the scope changes and everyone is informed."
113,"Employed, full-time",9,"Developer, full-stack","1,000 to 4,999 employees",Bash/Shell (all shells);JavaScript;Ruby;Rust;TypeScript,Bash/Shell (all shells);JavaScript;Ruby;Rust;TypeScript,MariaDB;PostgreSQL;SQLite;Supabase,Amazon Web Services (AWS);OVH;Supabase,Angular;Astro;Express;Fastify;NestJS;Next.js;React;Ruby on Rails;Solid.js;Vue.js,Electron,Docker;Kubernetes;npm;pnpm;Vite;Webpack;Yarn,Vim;VSCodium,Debian,ChatGPT,Increase productivity;Speed up learning,"Good, but not great at handling complex tasks",Search for answers,Replacing jobs without options for new employment opportunities;Energy demand,"They create more work (more code/PRs to review, etc.)",Individual contributor,8.0,Tracking my work;Complexity of tech stack for build;Reliability of tools/systems used in work,DevOps function;Automated testing;Observability tools;Knowledge sharing community;Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Software Development,5–10,Here’s how I usually work when I’m in a team. Most of the time I like working through written messages and updates instead of constant meetings. I don’t need to be the one in charge; I prefer being a dependable contributor. In conflicts I often act as a mediator and try to understand all sides. Clear deadlines motivate me and I try hard to stick to them. I’d describe my natural team role as a Resource-Investigator: I’m curious and like exploring options and opportunities.
114,"Employed, full-time;Independent contractor, freelancer, or self-employed",38,"Senior Executive (C-Suite, VP, etc.)",2 to 9 employees,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;SQL;TypeScript,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;SQL;TypeScript,Dynamodb;InfluxDB;Microsoft SQL Server;MongoDB;Redis,Amazon Web Services (AWS);Digital Ocean;Heroku;Microsoft Azure;OVH,Angular;ASP.NET CORE;Astro;Express;NestJS;Node.js,.NET (5+) ;.NET Framework (1.0 - 4.8);Electron;RabbitMQ,APT;Chocolatey;Docker;MSBuild;npm;NuGet;Terraform;Visual Studio Solution;Vite;Webpack;Yarn,Notepad++;Visual Studio;Visual Studio Code;Xcode,Android;MacOS;Ubuntu;Windows,ChatGPT;GitHub Copilot;Visual Studio Intellicode,Increase productivity;Greater efficiency;Speed up learning,Neither good or bad at handling complex tasks,Writing code;Documenting code;Testing code;Deployment and monitoring;Search for answers,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints;Imitating a person's likeness;Energy demand;Other (please specify):,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;We don’t have the right policies in place to reduce security risks;They create more work (more code/PRs to review, etc.)",People manager,28.0,Amount of technical debt;Number of software tools in use;Complexity of tech stack for build;Maintaining security of code being produced;Patching/updating core components,Automated testing;Observability tools;Knowledge sharing community;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,Cloud only (single or multi-cloud),Software Development,10–20,"If I had to describe myself as a teammate, I’d say this: I’d describe my natural team role as a Plant: I’m creative and enjoy coming up with new ideas. I’m comfortable switching between async and sync communication to fit the situation. I see deadlines more as guides and like to keep them realistic and negotiable. In conflict I’m quite straightforward, as long as the discussion stays respectful. I enjoy learning from other people’s perspectives and experience. I enjoy collaborating on direction instead of having a single strong leader."
115,"Employed, part-time",23,"Developer, back-end","1,000 to 4,999 employees",C#;C++;HTML/CSS;JavaScript;PowerShell;Ruby;SQL;TypeScript,C#;HTML/CSS;JavaScript;SQL;TypeScript,Cosmos DB;Elasticsearch;InfluxDB;Microsoft SQL Server;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Microsoft Azure;VMware,ASP.NET CORE;Blazor;React,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;RabbitMQ,Docker;Kubernetes;npm;NuGet;Terraform;Visual Studio Solution,Rider;Visual Studio;Visual Studio Code,Android;iOS;Ubuntu;Windows;Other (please specify):,Bing AI;ChatGPT;GitHub Copilot,Increase productivity;Greater efficiency,Neither good or bad at handling complex tasks,Writing code;Documenting code;Debugging and getting help;Search for answers;Generating content or synthetic data,Circulating misinformation or disinformation;Imitating a person's likeness;Energy demand,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools",People manager,20.0,None of these,DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Software Development,5–10,"If I had to describe myself as a teammate, I’d say this: I’d describe my natural team role as a Implementer: I’m practical and like turning ideas into concrete steps. I’m more comfortable when communication is mostly async and I can reply in my own time. I’m okay adjusting timelines if the scope changes and everyone is informed. If something is wrong I prefer to address it directly and talk openly. I try to give constructive feedback and I appreciate it in return. I don’t need to be the one in charge; I prefer being a dependable contributor."
116,"Employed, full-time",14,"Engineer, site reliability",100 to 499 employees,Bash/Shell (all shells);Go;Lua;Python;SQL,Go;Python;SQL,Cassandra;Clickhouse;Elasticsearch;InfluxDB;MySQL;PostgreSQL;Redis,"Amazon Web Services (AWS);Digital Ocean;Google Cloud;Linode, now Akamai;Microsoft Azure;Oracle Cloud Infrastructure (OCI);OVH;Vultr",FastAPI,Ruff,Ansible;Homebrew;npm;Pip;Terraform,Nano;Vim;Visual Studio Code,Windows,GitHub Copilot;Visual Studio Intellicode,Increase productivity;Greater efficiency,Very poor at handling complex tasks,Writing code;Documenting code;Debugging and getting help;Search for answers,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Imitating a person's likeness,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge",Individual contributor,9.0,Amount of technical debt;Complexity of tech stack for deployment;Complexity of tech stack for build;Reliability of tools/systems used in work,Automated testing;Observability tools;AI-assisted technology tool(s),Cloud only (single or multi-cloud),Computer Systems Design and Services,5–10,"In group projects, this is pretty much my style: I’d describe my natural team role as a Monitor-Evaluator: I’m analytical and tend to look at pros and cons. I work best with real-time conversations like quick calls or stand-ups. I’m flexible with deadlines as long as we communicate and keep priorities clear. I’d rather put the issue on the table and discuss it honestly than let it simmer. I enjoy learning from other people’s perspectives and experience. I like it when the team shares ownership and we make decisions together."
117,"Employed, full-time",11,"Developer, back-end",100 to 499 employees,Ada;Apex;Assembly;Bash/Shell (all shells);C;C#;C++;Go;Groovy;Haskell;HTML/CSS;Java;JavaScript;Kotlin;Lisp;Lua;PowerShell;Python;R;Ruby;Rust;SQL;TypeScript,Bash/Shell (all shells);Go;Rust;SQL,Dynamodb;Elasticsearch;MariaDB;MongoDB;MySQL;PostgreSQL;Snowflake;SQLite,Amazon Web Services (AWS);Google Cloud,Angular;ASP.NET;ASP.NET CORE;Django;Express;FastAPI;Flask;jQuery;Next.js;Node.js;React,.NET (5+) ;.NET Framework (1.0 - 4.8);Apache Kafka;Keras;NumPy;Pandas;RabbitMQ;Ruff;Scikit-Learn;TensorFlow;Torch/PyTorch,Ansible;Ant;APT;Chocolatey;Docker;Google Test;Gradle;Homebrew;Make;Maven (build tool);Ninja;Nix;npm;NuGet;Pacman;Pip;pnpm;Podman;Terraform;Yarn,CLion;DataGrip;Eclipse;Emacs;Goland;IntelliJ IDEA;IPython;Neovim;Spacemacs;Sublime Text;Vim;Visual Studio;Visual Studio Code;VSCodium;WebStorm,BSD;MacOS;Other Linux-based,Bing AI;ChatGPT;GitHub Copilot;Google Gemini;Phind,Increase productivity;Greater efficiency,Neither good or bad at handling complex tasks,Writing code;Documenting code;Debugging and getting help;Testing code;Deployment and monitoring;Search for answers,Circulating misinformation or disinformation;Biased results that do not represent diverse viewpoints;Energy demand,Lack of executive buy-in,Individual contributor,4.0,Amount of technical debt;Complexity of tech stack for deployment;Complexity of tech stack for build;Maintaining security of systems/platforms used in work,DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,Cloud only (single or multi-cloud),Software Development,5–10,"If I had to describe myself as a teammate, I’d say this: I’d describe my natural team role as a Plant: I’m creative and enjoy coming up with new ideas. Most of the time I like working through written messages and updates instead of constant meetings. I see deadlines more as guides and like to keep them realistic and negotiable. In conflicts I often act as a mediator and try to understand all sides. I really value respect and clear communication in any team. I enjoy collaborating on direction instead of having a single strong leader."
118,"Employed, full-time",8,"Developer, full-stack",100 to 499 employees,C#;JavaScript;Kotlin;Python;TypeScript,JavaScript;Python;TypeScript,MongoDB,Google Cloud;Microsoft Azure;Vercel,Angular;Django;FastAPI;React,.NET (5+) ;Pandas;RabbitMQ;Xamarin,Ansible;Docker;Kubernetes;npm;NuGet;Pip;Webpack,Android Studio;Jupyter Notebook/JupyterLab;Visual Studio;Visual Studio Code,Ubuntu,ChatGPT,Increase productivity;Speed up learning,"Good, but not great at handling complex tasks",Writing code;Documenting code;Testing code;Committing and reviewing code;Search for answers,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints;Imitating a person's likeness;Energy demand,"AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools;We don’t have the right policies in place to reduce security risks",Individual contributor,7.0,Amount of technical debt;Tracking my work;Complexity of tech stack for deployment;Complexity of tech stack for build,DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,Hybrid (on-prem and cloud),Software Development,40+,Here’s how I usually work when I’m in a team. I’m comfortable switching between async and sync communication to fit the situation. I prefer shared leadership where responsibilities and decisions are distributed. I try to give constructive feedback and I appreciate it in return. I like to help people find common ground and reach a compromise. Clear deadlines motivate me and I try hard to stick to them. I’d describe my natural team role as a Shaper: I’m driven and like to push the team to make progress.
119,"Employed, full-time",13,"Developer, embedded applications or devices","10,000 or more employees",C;C++;Python,C;C++;Python,PostgreSQL;Supabase,OpenStack;Supabase,React,RabbitMQ,Ansible;Docker;npm,Vim;Visual Studio Code,Debian;Fedora;iOS;Ubuntu;Windows Subsystem for Linux (WSL),ChatGPT,Increase productivity;Greater efficiency;Speed up learning,Bad at handling complex tasks,Writing code,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Imitating a person's likeness,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;We don’t have the right policies in place to reduce security risks",Individual contributor,6.0,Amount of technical debt;Number of software tools in use;Tracking my work;Showing my contributions;Complexity of tech stack for build,DevOps function;Automated testing;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Other:,10–20,"In group projects, this is pretty much my style: For me it’s important that everyone feels heard and included. I’d describe my natural team role as a Monitor-Evaluator: I’m analytical and tend to look at pros and cons. For me a mix of chat and meetings works best, and I adapt to what the team needs. Clear deadlines motivate me and I try hard to stick to them. If something is wrong I prefer to address it directly and talk openly. I prefer shared leadership where responsibilities and decisions are distributed."
